Name,Code,Direction
Arabic,ar,rtl
Armenian,hy,ltr
Azerbaijani,az,ltr
Belarusian,be,ltr
Bosnian,bs,ltr
Chinese,zh,ltr
Czech,cs,ltr
Dutch,nl,ltr
English,en,ltr
Estonian,et,ltr
Finnish,fi,ltr
French,fr,ltr
Georgian,ka,ltr
German,de,ltr
Greek,el,ltr
Hebrew,he,rtl
Hungarian,hu,ltr
Icelandic,is,ltr
Italian,it,ltr
Japanese,ja,ltr
Kazakh,kk,ltr
Kyrgyz,ky,ltr
Lithuanian,lt,ltr
Norwegian Bokmal,nb,ltr
Persian,fa,rtl
Polish,pl,ltr
Portuguese,pt,ltr
Romanian,ro,ltr
Russian,ru,ltr
Serbian,sr,ltr
Slovak,sk,ltr
Slovene,sl,ltr
Spanish,es,ltr
Swedish,sv,ltr
Tajik,tg,ltr
Thai,th,ltr
Turkish,tr,ltr
Turkmen,tk,ltr
Ukrainian,uk,ltr
Uzbek,uz,ltr
